	disorder	class	gene_list
402	Brody myopathy	Muscular	ATP2A1, SERCA1
403	Bruck syndrome 2	Unclassified	PLOD2
404	Brugada syndrome	Cardiovascular	SCN5A, LQT3, IVF, HB1, SSS1
405	Brunner syndrome	Unclassified	MAOA
406	Burkitt lymphoma	Cancer	MYC
407	Buschke-Ollendorff syndrome	multiple	LEMD3, MAN1
408	Butterfly dystrophy, retinal	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
409	C1q deficiency, type A	Immunological	C1QA
410	C1q deficiency, type B	Immunological	C1QB
411	C1q deficiency, type C	Immunological	C1QG
412	C1s deficiency, isolated	Immunological	C1S
413	C2 deficiency	Immunological	C2
414	C3b inactivator deficiency	Immunological	IF
415	C3 deficiency	Immunological	C3
416	C4 deficiency	Immunological	C4A, C4S
417	C4 deficiency	Immunological	C4B, C4F
418	C6 deficiency	Immunological	C6
419	C7 deficiency	Immunological	C7
420	C8 deficiency, type II	Immunological	C8B
421	C9 deficiency	Immunological	C9
422	C9 deficiency with dermatomyositis	Immunological	C9
423	Cafe-au-lait spots, multiple, with leukemia	Cancer	MSH2, COCA1, FCC1, HNPCC1
424	Cafe-au-lait spots with glioma or leukemia	Cancer	MLH1, COCA2, HNPCC2
425	Caffey disease	Connective tissue	COL1A1
426	Calcinosis, tumoral	Bone	FGF23, ADHR, HPDR2, PHPTC
427	Calcinosis, tumoral	Bone	GALNT3
428	Campomelic dysplasia	Skeletal	SOX9, CMD1, SRA1
429	Campomelic dysplasia with autosomal sex reversal	Skeletal	SOX9, CMD1, SRA1
430	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome	Skeletal	PRG4, CACP, MSF, SZP, HAPO
431	Camurati-Engelmann disease	Skeletal	TGFB1, DPD1, CED
432	Canavan disease	Metabolic	ASPA
433	Cancer progression/metastasis	Cancer	FGFR4
434	Cancer susceptibility	Cancer	MSH6, GTBP, HNPCC5
435	Capillary malformation-arteriovenous malformation	Cardiovascular	RASA1, GAP, CMAVM, PKWS
436	Carbamoylphosphate synthetase I deficiency	Metabolic	CPS1
437	Carbohydrate-deficient glycoprotein syndrome, type I	Metabolic	PMM2, CDG1
438	Carbohydrate-deficient glycoprotein syndrome, type Ib	Metabolic	MPI, PMI1
439	Carbohydrate-deficient glycoprotein syndrome, type II	Metabolic	MGAT2, CDGS2
440	Carboxypeptidase N deficiency	Hematological	CPN1, SCPN, CPN
441	Carcinoid tumor of lung	Cancer	MEN1
442	Carcinoid tumors, intestinal	Cancer	SDHD, PGL1
443	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency	Cardiovascular	SCO2
444	Cardiomyopathy, Familial hypertrophic, 8	Cardiovascular	MYL3, CMH8
445	Cardiomyopathy, dilated	Cardiovascular	ACTC
446	Cardiomyopathy, dilated	Cardiovascular	MYH7, CMH1, MPD1
447	Cardiomyopathy, dilated, 1A	Cardiovascular	LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B
448	Cardiomyopathy, dilated, 1D	Cardiovascular	TNNT2, CMH2, CMD1D
449	Cardiomyopathy, dilated, 1G	Cardiovascular	TTN, CMD1G
450	Cardiomyopathy, dilated, 1I	Cardiovascular	DES, CMD1I
451	Cardiomyopathy, dilated, 1J	Cardiovascular	EYA4, DFNA10, CMD1J
452	Cardiomyopathy, dilated, 1L	Cardiovascular	SGCD, SGD, LGMD2F, CMD1L
453	Cardiomyopathy, dilated, 1M	Cardiovascular	CSRP3, CRP3, CLP, CMD1M
454	Cardiomyopathy, dilated, 1N	Cardiovascular	TCAP, LGMD2G, CMD1N
455	Cardiomyopathy, dilated, with ventricular tachycardia	Cardiovascular	ABCC9, SUR2
456	Cardiomyopathy, dilated, X-linked	Cardiovascular	DMD, BMD
457	Cardiomyopathy, familial hypertrophic, 10	Cardiovascular	MYL2, CMH10
458	Cardiomyopathy, familial hypertrophic, 1	Cardiovascular	MYH7, CMH1, MPD1
459	Cardiomyopathy, familial hypertrophic	Cardiovascular	ACTC
460	Cardiomyopathy, familial hypertrophic	Cardiovascular	CAV3, LGMD1C
461	Cardiomyopathy, familial hypertrophic	Cardiovascular	MYH6, ASD3, MYHCA
462	Cardiomyopathy, familial hypertrophic ()	Cardiovascular	TNNC1
463	Cardiomyopathy, familial hypertrophic, 2	Cardiovascular	TNNT2, CMH2, CMD1D
464	Cardiomyopathy, familial hypertrophic, 3	Cardiovascular	TPM1, CMH3
465	Cardiomyopathy, familial hypertrophic	Cardiovascular	TNNI3
466	Cardiomyopathy, familial hypertrophic, 4	Cardiovascular	MYBPC3, CMH4
467	Cardiomyopathy, familial hypertrophic, 9	Cardiovascular	TTN, CMD1G, TMD, LGMD2J
468	Cardiomyopathy, familial restrictive	Cardiovascular	TNNI3
469	Cardiomyopathy, hypertrophic, early-onset fatal	Cardiovascular	COX15
470	Cardiomyopathy, hypertrophic, mid-left ventricular chamber type	Cardiovascular	MYL2, CMH10
471	Cardiomyopathy, hypertrophic, midventricular, digenic	Cardiovascular	MYLK2, MLCK
472	Cardiomyopathy, hypertrophic, with WPW	Cardiovascular	PRKAG2, WPWS
473	Cardiomyopathy, idiopathic dilated	Cardiovascular	PLN, PLB
474	Cardiomyopathy, X-linked dilated	Cardiovascular	TAZ, EFE2, BTHS, CMD3A, LVNCX
475	Carney complex, type 1	multiple	PRKAR1A, TSE1, CNC1, CAR
476	Carney complex variant	multiple	MYH8
477	Carnitine-acylcarnitine translocase deficiency	Metabolic	SLC25A20, CACT, CAC
478	Carnitine deficiency, systemic primary	Metabolic	SLC22A5, OCTN2, CDSP, SCD
479	Carpal tunnel syndrome, familial	Unclassified	TTR, PALB
480	Cartilage-hair hypoplasia	Skeletal	RMRP, RMRPR, CHH
481	Cataract, autosomal dominant nuclear	Ophthamological	CRYAA, CRYA1
482	Cataract, cerulean, type 2	Ophthamological	CRYBB2, CRYB2
483	Cataract, congenital	Ophthamological	PITX3
484	Cataract, congenital	Ophthamological	BFSP2, CP49, CP47
485	Cataract, congenital progressive, autosomal recessive	Ophthamological	CRYAA, CRYA1
486	Cataract, congenital, with late-onset corneal dystrophy	Ophthamological	PAX6, AN2, MGDA
487	Cataract, congenital zonular, with sutural opacities	Ophthamological	CRYBA1, CRYB1
488	Cataract, Coppock-like	Ophthamological	CRYGC, CRYG3, CCL
489	Cataract, cortical pulverulent, late-onset	Ophthamological	LIM2, MP19
490	Cataract, crystalline aculeiform	Ophthamological	CRYGD, CRYG4
491	Cataract, juvenile-onset	Ophthamological	BFSP2, CP49, CP47
492	Cataract, lamellar	Ophthamological	HSF4, CTM
493	Cataract, Marner type	Ophthamological	HSF4, CTM
494	Cataract, polymorphic and lamellar	Ophthamological	MIP, AQP0
495	Cataract, posterior polar 2	Ophthamological	CRYAB, CRYA2, CTPP2
496	Cataract, pulverulent	Ophthamological	CRYBB1
497	Cataracts, punctate, progressive juvenile-onset	Ophthamological	CRYGD, CRYG4
498	Cataract, sutural, with punctate and cerulean opacities	Ophthamological	CRYBB2, CRYB2
499	Cataract, variable zonular pulverulent	Ophthamological	CRYGC, CRYG3, CCL
500	Cataract, zonular central nuclear, autosomal dominant	Ophthamological	CRYAA, CRYA1
501	Cataract, zonular pulverulent-1	Ophthamological	GJA8, CX50, CAE1
502	Cataract, zonular pulverulent-3	Ophthamological	GJA3, CX46, CZP3, CAE3
503	Cavernous malformations of CNS and retina	Cardiovascular	CCM1, CAM, KRIT1
504	CD59 deficiency	Immunological	CD59, MIC11
505	CD8 deficiency, familial	Immunological	CD8A
506	Central core disease	Muscular	RYR1, MHS, CCO
507	Central core disease, one form ()	Muscular	MYH7, CMH1, MPD1
508	Central hypoventilation syndrome	Respiratory	GDNF
509	Central hypoventilation syndrome, congenital	Respiratory	BDNF
510	Central hypoventilation syndrome, congenital	Respiratory	EDN3
511	Central hypoventilation syndrome, congenital	Respiratory	PMX2B, NBPHOX, PHOX2B
512	Central hypoventilation syndrome, congenital	Respiratory	RET, MEN2A
513	Cerebellar ataxia	Neurological	CP
514	Cerebellar ataxia, pure	Neurological	CACNA1A, CACNL1A4, SCA6
515	Cerebellar hypoplasia, VLDLR-associated	Neurological	VLDLR, VLDLRCH
516	Cerebral amyloid angiopathy	Neurological	ABCA1, ABC1, HDLDT1, TGD
517	Cerebral amyloid angiopathy	Neurological	CST3
518	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	Cardiovascular	NOTCH3, CADASIL, CASIL
519	Cerebral cavernous malformations-1	Neurological	CCM1, CAM, KRIT1
520	Cerebral cavernous malformations-2	Neurological	C7orf22, CCM2, MGC4067
521	Cerebral cavernous malformations 3	Neurological	PDCD10, TFAR15, CCM3
522	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	Neurological	SNAP29, CEDNIK
523	Cerebrooculofacioskeletal syndrome	multiple	ERCC2, EM9
524	Cerebrooculofacioskeletal syndrome	multiple	ERCC5, XPG
525	Cerebrooculofacioskeletal syndrome 214150	multiple	ERCC6, CKN2, COFS, CSB
526	Cerebrotendinous xanthomatosis	Metabolic	CYP27A1, CYP27, CTX
527	Cerebrovascular disease, occlusive	Unclassified	SERPINA3, AACT, ACT
528	Ceroid lipofuscinosis, neuronal-1, infantile	Neurological	PPT1, CLN1
529	Ceroid-lipofuscinosis, neuronal 2, classic late infantile	Neurological	CLN2
530	Ceroid-lipofuscinosis, neuronal-3, juvenile	Neurological	CLN3, BTS
531	Ceroid-lipofuscinosis, neuronal-5, variant late infantile	Neurological	CLN5
532	Ceroid-lipofuscinosis, neuronal-6, variant late infantile	Neurological	CLN6
533	Ceroid lipofuscinosis, neuronal 8	Neurological	CLN8, EPMR
534	Ceroid lipofuscinosis, neuronal, variant juvenile type, with granular osmiophilic deposits	Neurological	PPT1, CLN1
535	Cervical cancer, somatic	Cancer	FGFR3, ACH
536	CETP deficiency	Metabolic	CETP
537	Chanarin-Dorfman syndrome	Metabolic	ABHD5, CGI58, IECN2, NCIE2
538	Charcot-Marie-Tooth disease, axonal, type 2F	Neurological	HSPB1, HSP27, CMT2F
539	Charcot-Marie-Tooth disease, dominant intermediate 3	Neurological	MPZ, CMT1B, CMTDI3, CHM, DSS
540	Charcot-Marie-Tooth disease, dominant intermediate B	Neurological	DNM2
541	Charcot-Marie-Tooth disease, foot deformity of	Neurological	HOXD10, HOX4D
542	Charcot-Marie-Tooth disease, mixed axonal and demyelinating type	Neurological	GDAP1, CMT4A, CMT2K, CMT2G
543	Charcot-Marie-Tooth disease, type 1A	Neurological	PMP22, CMT1A, CMT1E, DSS
544	Charcot-Marie-Tooth disease, type 1B	Neurological	MPZ, CMT1B, CMTDI3, CHM, DSS
545	Charcot-Marie-Tooth disease, type 1C	Neurological	LITAF, CMT1C
546	Charcot-Marie-Tooth disease, type 1D	Neurological	EGR2, KROX20
547	Charcot-Marie-Tooth disease, type 1E	Neurological	PMP22, CMT1A, CMT1E, DSS
548	Charcot-Marie-Tooth disease, type 1F	Neurological	NEFL, CMT2E, CMT1F
549	Charcot-Marie-Tooth disease, type 2A1	Neurological	KIF1B, CMT2A, CMT2A1
550	Charcot-Marie-Tooth disease, type 2A2	Neurological	MFN2, KIAA0214, CMT2A2
551	Charcot-Marie-Tooth disease, type 2B	Neurological	RAB7, CMT2B, PSN
552	Charcot-Marie-Tooth disease, type 2D	Neurological	GARS, SMAD1, CMT2D
553	Charcot-Marie-Tooth disease, type 2E	Neurological	NEFL, CMT2E, CMT1F
554	Charcot-Marie-Tooth disease, type 2G	Neurological	GDAP1, CMT4A, CMT2K, CMT2G
555	Charcot-Marie-Tooth disease, type 2I	Neurological	MPZ, CMT1B, CMTDI3, CHM, DSS
556	Charcot-Marie-Tooth disease, type 2J	Neurological	MPZ, CMT1B, CMTDI3, CHM, DSS
557	Charcot-Marie-Tooth disease, type 2K	Neurological	GDAP1, CMT4A, CMT2K, CMT2G
558	Charcot-Marie-Tooth disease, type 4A	Neurological	GDAP1, CMT4A, CMT2K, CMT2G
559	Charcot-Marie-Tooth disease, type 4B1	Neurological	MTMR2, CMT4B1
560	Charcot-Marie-Tooth disease, type 4B2	Neurological	SBF2, MTMR13, CMT4B2
561	Charcot-Marie-Tooth disease, type 4B2, with early-onset glaucoma	Neurological	SBF2, MTMR13, CMT4B2
562	Charcot-Marie-Tooth disease, type 4C	Neurological	KIAA1985
563	Charcot-Marie-Tooth disease, type 4D	Neurological	NDRG1, HMSNL, CMT4D
564	Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	Neurological	GJB1, CX32, CMTX1
565	CHARGE syndrome	multiple	CHD7
566	Char syndrome	multiple	TFAP2B, CHAR
567	Chediak-Higashi syndrome	multiple	CHS1, LYST
568	Cherubism	Unclassified	SH3BP2, CRPM
569	CHILD syndrome	Developmental	NSDHL
570	Chitotriosidase deficiency	Metabolic	CHIT
571	Chloride diarrhea, congenital, Finnish type	Gastrointestinal	SLC26A3, DRA, CLD
572	Cholelithiasis	Gastrointestinal	ABCB4, PGY3, MDR3
573	Cholestasis, benign recurrent intrahepatic	Gastrointestinal	ATP8B1, FIC1, BRIC, PFIC1
574	Cholestasis, familial intrahepatic, of pregnancy	Gastrointestinal	ABCB4, PGY3, MDR3
575	Cholestasis, progressive familial intrahepatic 1	Gastrointestinal	ATP8B1, FIC1, BRIC, PFIC1
576	Cholestasis, progressive familial intrahepatic 2	Gastrointestinal	ABCB11, BSEP, SPGP, PFIC2
577	Cholestasis, progressive familial intrahepatic 3	Gastrointestinal	ABCB4, PGY3, MDR3
578	Cholestasis, progressive familial intrahepatic 4	Gastrointestinal	HSD3B7, PFIC4
579	Cholesteryl ester storage disease	Metabolic	LIPA
580	Chondrocalcinosis 2	Connective tissue	ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD
581	Chondrodysplasia, Grebe type	Skeletal	GDF5, CDMP1
582	Chondrodysplasia punctata, rhizomelic, type 2	Connective tissue	GNPAT, DHAPAT
583	Chondrodysplasia punctata, X-linked dominant	Connective tissue	EBP, CDPX2, CPXD, CPX
584	Chondrodysplasia punctata, X-linked recessive	Connective tissue	ARSE, CDPX1, CDPXR
585	Chondrosarcoma	Cancer	EXT1
586	Chondrosarcoma, extraskeletal myxoid	Cancer	CSMF
587	Chondrosarcoma, extraskeletal myxoid	Cancer	EWSR1, EWS
588	Chorea, hereditary benign	Neurological	TITF1, NKX2A, TTF1
589	Choreoacanthocytosis	Neurological	VPS13A, CHAC
590	Choreoathetosis, hypothyroidism, and respiratory distress	multiple	TITF1, NKX2A, TTF1
591	Choroideremia	Ophthamological	CHM, TCD
592	Chromosome 22q13.3 deletion syndrome	multiple	PSAP2, PROSAP2, KIAA1650
593	Chronic granulomatous disease, autosomal, due to deficiency of CYBA	Immunological	CYBA
594	Chronic granulomatous disease due to deficiency of NCF-1	Immunological	NCF1
595	Chronic granulomatous disease due to deficiency of NCF-2	Immunological	NCF2
596	Chronic granulomatous disease, X-linked	Immunological	CYBB, CGD
597	Chronic infections, due to opsonin defect	Immunological	MBL2, MBL, MBP1
598	Chudley-Lowry syndrome	multiple	ATRX, XH2, XNP, MRXS3, SHS
599	Chylomicronemia syndrome, familial	Metabolic	LPL, LIPD
600	Chylomicron retention disease	Gastrointestinal	SARA2, SAR1B, CMRD
601	Chylomicron retention disease with Marinesco-Sjogren syndrome	Gastrointestinal	SARA2, SAR1B, CMRD
602	Ciliary dyskinesia, primary, 1	Respiratory	DNAI1, CILD1, ICS, PCD
603	Ciliary dyskinesia, primary, 3 608644	Respiratory	DNAH5, HL1, PCD, CILD3
604	CINCA syndrome	multiple	CIAS1, C1orf7, FCU, FCAS
605	Cirrhosis, cryptogenic	Gastrointestinal	KRT18
606	Cirrhosis, cryptogenic	Gastrointestinal	KRT8
607	Cirrhosis, noncryptogenic, susceptibility to	Gastrointestinal	KRT18
608	Cirrhosis, noncryptogenic, susceptibility to	Gastrointestinal	KRT8
609	Cirrhosis, North American Indian childhood type	Gastrointestinal	CIRH1A, NAIC, TEX292, KIAA1988
610	Citrullinemia	Metabolic	ASS
611	Citrullinemia, adult-onset type II	Metabolic	SLC25A13, CTLN2
612	Citrullinemia, type II, neonatal-onset	Metabolic	SLC25A13, CTLN2
613	Cleft lip/palate ectodermal dysplasia syndrome	Developmental	HVEC, PVRL1, PVRR1, PRR1
614	Cleft lip/palate, nonsyndromic	Developmental	MSX1, HOX7, HYD1, OFC5
615	Cleft palate with ankyloglossia	Developmental	TBX22, CPX
616	Cleidocranial dysplasia	Skeletal	RUNX2, CBFA1, PEBP2A1, AML3
617	Coats disease	Ophthamological	NDP, ND
618	Cockayne syndrome, type A	multiple	ERCC8, CKN1, CSA
619	Cockayne syndrome, type B	multiple	ERCC6, CKN2, COFS, CSB
620	Codeine sensitivity	Metabolic	CYP2D@, CYP2D, P450C2D
621	Coffin-Lowry syndrome	multiple	RPS6KA3, RSK2, MRX19
622	Cohen syndrome	multiple	COH1
623	Colchicine resistance	Unclassified	ABCB1, PGY1, MDR1
624	Cold-induced autoinflammatory syndrome, familial	Immunological	CIAS1, C1orf7, FCU, FCAS
625	Cold-induced sweating syndrome	multiple	CRLF1, CISS
626	Coloboma, ocular	Ophthamological	PAX6, AN2, MGDA
627	Coloboma, ocular	Ophthamological	SHH, HPE3, HLP3, SMMCI
628	Colon adenocarcinoma	Cancer	RAD54B
629	Colon adenocarcinoma	Cancer	RAD54L, HR54, HRAD54
630	Colon cancer	Cancer	BCL10
631	Colon cancer	Cancer	PTPN12, PTPG1
632	Colon cancer	Cancer	TGFBR2, HNPCC6
633	Colon cancer, advanced	Cancer	SRC, ASV, SRC1
634	Colon cancer, hereditary nonpolypopsis, type 7	Cancer	MLH3, HNPCC7
635	Colon cancer, somatic	Cancer	PTPRJ, DEP1
636	Colonic adenoma recurrence, reduced risk of	Cancer	ODC1
637	Colonic aganglionosis, total, with small bowel involvement	Gastrointestinal	RET, MEN2A
638	Colorblindness, deutan	Ophthamological	OPN1MW, GCP, CBD, CBBM
639	Colorblindness, protan	Ophthamological	OPN1LW, RCP, CBP, CBBM
640	Colorblindness, tritan	Ophthamological	OPN1SW, BCP, CBT
641	Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas	Cancer	MUTYH
642	Colorectal cancer	Cancer	AXIN2
643	Colorectal cancer	Cancer	BUB1B, BUBR1
644	Colorectal cancer	Cancer	EP300
645	Colorectal cancer	Cancer	PDGFRL, PDGRL, PRLTS
646	Colorectal cancer	Cancer	PIK3CA
647	Colorectal cancer	Cancer	TP53, P53, LFS1
648	Colorectal cancer	Cancer	APC, GS, FPC
649	Colorectal cancer	Cancer	BAX
650	Colorectal cancer	Cancer	CTNNB1
651	Colorectal cancer	Cancer	DCC
652	Colorectal cancer	Cancer	MCC
653	Colorectal cancer	Cancer	NRAS
654	Colorectal cancer, hereditary nonpolyposis, type 1	Cancer	MSH2, COCA1, FCC1, HNPCC1
655	Colorectal cancer, hereditary nonpolyposis, type 2	Cancer	MLH1, COCA2, HNPCC2
656	Colorectal cancer, hereditary nonpolyposis, type 3	Cancer	PMS1, PMSL1, HNPCC3
657	Colorectal cancer, hereditary nonpolyposis, type 4	Cancer	PMS2, PMSL2, HNPCC4
658	Colorectal cancer, hereditary nonpolyposis, type 5	Cancer	MSH6, GTBP, HNPCC5
659	Colorectal cancer, hereditary nonpolyposis, type 6	Cancer	TGFBR2, HNPCC6
660	Colorectal cancer, somatic	Cancer	FGFR3, ACH
661	Colorectal cancer, somatic	Cancer	FLCN, BHD
662	Colorectal cancer, somatic	Cancer	MLH3, HNPCC7
663	Colorectal cancer, somatic	Cancer	BRAF
664	Colorectal cancer, somatic	Cancer	DLC1
665	Colorectal cancer, sporadic	Cancer	PLA2G2A, PLA2B, PLA2L, MOM1
666	Colorectal cancer, susceptibility to	Cancer	CCND1, PRAD1, BCL1
667	Colorectal cancer with chromosomal instability	Cancer	BUB1
668	Combined C6/C7 deficiency	Immunological	C6
669	Combined factor V and VIII deficiency	Hematological	LMAN1, ERGIC53, F5F8D, MCFD1
670	Combined hyperlipemia, familial	Metabolic	LPL, LIPD
671	Combined immunodeficiency, X-linked, moderate	Immunological	IL2RG, SCIDX1, SCIDX, IMD4
672	Combined oxidative phosphorylation deficiency	multiple	GFM1, EFG1, GFM
673	Combined SAP deficiency	Metabolic	PSAP, SAP1
674	Complex I, mitochondrial respiratory chain, deficiency of	multiple	NDUFS6
675	Complex V, mitochondrial respiratory chain, deficiency of	multiple	ATPAF2, ATP12
676	Cone dystrophy-1	Ophthamological	RPGR, RP3, CRD, RP15, COD1
677	Cone dystrophy-3	Ophthamological	GUCA1A, GCAP
678	Cone-rod dystrophy	Ophthamological	RPGR, RP3, CRD, RP15, COD1
679	Cone-rod dystrophy 3	Ophthamological	ABCA4, ABCR, STGD1, FFM, RP19
680	Cone-rod dystrophy	Ophthamological	AIPL1, LCA4
681	Cone-rod dystrophy 6	Ophthamological	GUCY2D, GUC2D, LCA1, CORD6
682	Cone-rod dystrophy 9	Ophthamological	RPGRIP1, LCA6, CORD9
683	Cone-rod retinal dystrophy-2	Ophthamological	CRX, CORD2, CRD
684	Congenital bilateral absence of vas deferens	Unclassified	CFTR, ABCC7, CF, MRP7
685	Congenital cataracts, facial dysmorphism, and neuropathy	Ophthamological	CTDP1, FCP1, CCFDN
686	Congenital disorder of glycosylation, type Ic	Metabolic	ALG6
687	Congenital disorder of glycosylation, type Id	Metabolic	ALG3, NOT56L, CDGS4
688	Congenital disorder of glycosylation, type Ie	Metabolic	DPM1, MPDS, CDGIE
689	Congenital disorder of glycosylation, type If	Metabolic	MPDU1, SL15, CDGIF
690	Congenital disorder of glycosylation, type Ig	Metabolic	ALG12
691	Congenital disorder of glycosylation, type Ih	Metabolic	ALG8
692	Congenital disorder of glycosylation, type Ii	Metabolic	ALG2, CDGII
693	Congenital disorder of glycosylation, type II	Metabolic	DIBD1, ALG9
694	Congenital disorder of glycosylation, type IIc	Metabolic	SLC35C1, FUCT1
695	Congenital disorder of glycosylation, type IId	Metabolic	B4GALT1, GGTB2, GT1, GTB
696	Congenital disorder of glycosylation, type IIe	Metabolic	COG7, CDG2E
697	Congenital disorder of glycosylation, type Ij	Metabolic	DPAGT2, DGPT
698	Congenital disorder of glycosylation, type Ik	Metabolic	ALG1, HMAT1, HMT1
699	Congestive heart failure, susceptibility to	Cardiovascular	ADRA2C, ADRA2L2
700	Congestive heart failure, susceptibility to	Cardiovascular	ADRB1, ADRB1R, RHR
701	Conjunctivitis, ligneous	Ophthamological	PLG
702	Conotruncal anomaly face syndrome	Cardiovascular	TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR
703	Contractural arachnodactyly, congenital	Connective tissue	FBN2, CCA
